x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,6.0
89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,6.0
89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8760856354219352,0.4821555344568223,6.0
89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,6.0
89664.23692203376,43123.69383370666,0.0,0.0,0.0,-0.9657707506138884,0.2593971034122904,6.0
89663.075723032,43122.484260376725,0.0,0.0,0.0,-0.9631029454644277,0.2688418418171965,6.0
89662.04200554076,43121.51808991071,0.0,0.0,0.0,-0.961615003225158,0.2741095523223472,8.0
89661.07778375562,43120.832222365934,0.0,0.0,0.0,-0.958760558299818,0.2842150450778798,8.0
89660.22381099984,43120.19964995424,0.0,0.0,0.0,-0.9617559588232164,0.2732131265398539,8.0
89659.3065810029,43119.53544892196,0.0,0.0,0.0,-0.9648258532312572,0.2619375966286534,8.0
89658.30500801769,43118.86070501615,0.0,0.0,0.0,-0.9669975324690612,0.2539611547877697,8.0
89657.19105326472,43118.185480478445,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,8.0
89655.84322500958,43117.63199259753,0.0,0.0,0.0,0.5373737334947141,0.1297434063280354,8.0
89654.10733239073,43117.38471137729,0.0,0.0,0.0,0.7347199650958383,0.1151757784818931,8.0
89650.87561147023,43118.114929657175,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,8.0
89649.77587224529,43118.42476625544,0.0,0.0,0.0,0.993400879551037,0.1112352060193314,8.0
89648.67613302036,43118.73460285371,0.0,0.0,0.0,0.8916850547013737,0.4506420348874019,10.0
89647.57639379542,43119.04443945197,0.0,0.0,0.0,0.8881523612684369,0.4580532625797036,10.0
89646.47665457049,43119.35427605024,0.0,0.0,0.0,0.8807548517288327,0.473572477194486,10.0
89645.37691534555,43119.664112648505,0.0,0.0,0.0,0.8807548517288211,0.4735724771945077,10.0
89644.27717612061,43119.97394924677,0.0,0.0,0.0,0.8807548517288114,0.4735724771945259,12.0
89643.17743689568,43120.28378584504,0.0,0.0,0.0,0.8807548517288057,0.4735724771945364,12.0
89642.07769767074,43120.59362244331,0.0,0.0,0.0,0.8807548517288029,0.4735724771945419,12.0
89640.97795844582,43120.903459041576,0.0,0.0,0.0,0.880754851728798,0.4735724771945508,12.0
89640.112040786,43121.11693352143,0.0,0.0,0.0,0.8807548517287959,0.4735724771945548,12.0
89639.70424653495,43121.24399463894,0.0,0.0,0.0,0.8807548517287953,0.4735724771945557,12.0
89639.30898589674,43121.40214226901,0.0,0.0,0.0,0.880754851728795,0.4735724771945565,12.0
89638.95171883829,43121.63224468964,0.0,0.0,0.0,0.8807548517287946,0.4735724771945571,12.0
89638.62048485436,43121.90183490766,0.0,0.0,0.0,0.8807548517287942,0.4735724771945578,12.0
89638.29377874066,43122.176977480005,0.0,0.0,0.0,0.8807548517287938,0.4735724771945588,12.0
89637.96746157967,43122.45258188711,0.0,0.0,0.0,0.8807548517287933,0.4735724771945594,12.0
89637.64114441868,43122.72818629422,0.0,0.0,0.0,0.8807548517287931,0.4735724771945598,12.0
89637.3148272577,43123.003790701325,0.0,0.0,0.0,0.8807548517287928,0.4735724771945603,12.0
89636.9885100967,43123.27939510843,0.0,0.0,0.0,0.8807548517287924,0.4735724771945609,11.999999999999998
89636.6621929357,43123.55499951553,0.0,0.0,0.0,0.8807548517287921,0.4735724771945616,12.0
89636.3358757747,43123.83060392262,0.0,0.0,0.0,0.8807548517287916,0.4735724771945625,12.0
89636.0095586137,43124.10620832972,0.0,0.0,0.0,0.8807548517287915,0.4735724771945629,12.0
89635.68324145272,43124.38181273684,0.0,0.0,0.0,0.8807548517287912,0.4735724771945634,12.0
89635.35689509567,43124.65738256421,0.0,0.0,0.0,0.8800806934516261,0.4745536838367624,12.0
89635.03016995847,43124.932502191165,0.0,0.0,0.0,0.8795126170906711,0.4753804930854586,12.0
89634.70213657642,43125.20605782864,0.0,0.0,0.0,0.8788233134302548,0.4763837431426064,12.0
89634.37247330774,43125.47765055128,0.0,0.0,0.0,0.8783477883594566,0.4770758482072529,12.0
89634.04362968313,43125.75021312551,0.0,0.0,0.0,0.8779389346451996,0.47767091615154,12.0
89633.72150269174,43126.03059628009,0.0,0.0,0.0,0.8772200296994624,0.4787172495301541,12.0
89633.41198986501,43126.32481668864,0.0,0.0,0.0,0.8763936476829963,0.479920010886078,12.0
89633.11640020169,43126.63308914652,0.0,0.0,0.0,0.87589196357436,0.4806501892378881,12.0
89632.83047753864,43126.95039501932,0.0,0.0,0.0,0.8754204986693035,0.4813363849163725,12.0
89632.54862680458,43127.27133209702,0.0,0.0,0.0,0.8751207471708268,0.4817726595588069,12.0
89632.26763015281,43127.59301759474,0.0,0.0,0.0,0.8744169827862134,0.4827969565408591,12.0
89631.98668619657,43127.91474911671,0.0,0.0,0.0,0.8737482249819972,0.4837703030408512,12.405656835695844
89631.70574224033,43128.23648063868,0.0,0.0,0.0,0.8730046931850497,0.4848524796788341,12.856670272978144
